Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done,agent_angle_score,agent_angle_tier,agent_angle_deg
Reset 8110,1,-0.07062989496456074,0.0,1,2.0,4.8,0,1,-0.16335480742794584,0.0,0,2.0,4.3,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-8.928624713179424,0.0,2.0,4.3,18,True,36.437373160689724,beginner,11.781313419655138
Reset 8111,1,-0.004563735774610889,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-3.2373380301833583,0.0,2.0,4.8,18,True,38.055591158624885,beginner,10.972204420687557
Reset 8112,1,0.0529778554159408,0.0,1,2.0,4.8,0,1,-0.09295952907013016,0.0,1,2.0,4.8,0,"('a', 'b', 2)",8.25,8.75,1.5707963267948966,-8.978935696178649,0.0,2.0,4.3,18,True,48.3531487726833,intermediate,8.955856403414588
Reset 8113,0,0.0,0.0,0,0.0,0.0,0,1,0.020898635080270678,0.0,0,2.0,4.3,0,"('b', 'c', 4)",17.25,-8.5,-1.5707963267948966,-3.610696556035551,0.0,2.0,4.3,19,True,39.78437844576405,beginner,10.107810777117978
Reset 8114,1,-0.10606397030521286,0.0,0,2.0,4.3,0,1,0.1414362599860206,0.0,0,2.0,4.3,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-5.406749798172428,0.0,2.0,4.8,16,True,35.65362001839313,beginner,12.173189990803438
Reset 8115,1,-0.1662194160555539,0.0,0,2.0,4.3,0,1,-0.06293506361870294,0.0,0,2.0,4.3,0,"('b', 'c', 4)",17.25,-8.5,-1.5707963267948966,-3.359551854717843,0.0,2.0,4.8,19,True,38.832987376074456,beginner,10.583506311962772
Reset 8116,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-9.824581537674876,0.0,2.0,4.8,15,True,13.214578038124259,beginner,23.39271098093787
Reset 8117,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-4.7522523322707615,0.0,2.0,4.3,20,True,34.16789430932728,beginner,12.916052845336358
Reset 8118,0,0.0,0.0,0,0.0,0.0,0,1,-0.049492823622661275,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-6.295576533589662,0.0,2.0,4.8,18,True,26.27142164829972,beginner,16.86428917585014
Reset 8119,1,0.16064287572349145,0.0,1,2.0,4.8,0,1,-0.14395202064671864,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-9.163820589337806,0.0,2.0,4.8,20,True,33.59438966897511,beginner,13.202805165512443
